time,frame,Elastic Potential Energy,Gravitational Potential Energy,Contact Potential Energy,Kinetic Energy,External Energy,Total Energy
0, 1, 0, 0.54936, 0, 3.84944e-05, 0, 0.549398
0.001, 2, 0, 0.549283, 0, 0.000153978, 0, 0.549437
0.002, 2, 0, 0.549129, 0, 0.00034645, 0, 0.549475
0.003, 2, 3.85186e-31, 0.548898, 0, 0.000615911, 0, 0.549514
0.004, 2, 3.85186e-31, 0.54859, 0, 0.000962361, 0, 0.549552
0.005, 2, 3.85186e-31, 0.548205, 0, 0.0013858, 0, 0.549591
0.006, 2, 1.54074e-30, 0.547743, 0, 0.00188623, 0, 0.549629
0.007, 2, 3.85186e-31, 0.547204, 0, 0.00246364, 0, 0.549668
0.008, 2, 3.85186e-31, 0.546588, 0, 0.00311805, 0, 0.549706
0.009, 2, 0, 0.545896, 0, 0.00384944, 0, 0.549745
0.01, 2, 0, 0.545126, 0, 0.00465783, 0, 0.549783
0.011, 3, 0, 0.544279, 0, 0.0055432, 0, 0.549822
0.012, 3, 0, 0.543355, 0, 0.00650556, 0, 0.54986
0.013, 3, 0, 0.542354, 0, 0.00754491, 0, 0.549899
0.014, 3, 0, 0.541276, 0, 0.00866125, 0, 0.549937
0.015, 3, 0, 0.540121, 0, 0.00985458, 0, 0.549976
0.016, 3, 0, 0.53889, 0, 0.0111249, 0, 0.550014
0.017, 3, 0, 0.537581, 0, 0.0124722, 0, 0.550053
0.018, 3, 0, 0.536195, 0, 0.0138965, 0, 0.550091
0.019, 3, 0, 0.534732, 0, 0.0153978, 0, 0.55013
0.02, 3, 0, 0.533192, 0, 0.016976, 0, 0.550168
0.021, 4, 5.00742e-30, 0.531576, 0, 0.0186313, 0, 0.550207
0.022, 4, 5.00742e-30, 0.529882, 0, 0.0203636, 0, 0.550245
0.023, 4, 6.16298e-30, 0.528111, 0, 0.0221728, 0, 0.550284
0.024, 4, 6.16298e-30, 0.526263, 0, 0.024059, 0, 0.550322
0.025, 4, 6.16298e-30, 0.524339, 0, 0.0260222, 0, 0.550361
0.026, 4, 6.16298e-30, 0.522337, 0, 0.0280624, 0, 0.550399
0.027, 4, 6.93335e-30, 0.520258, 0, 0.0301796, 0, 0.550438
0.028, 4, 1.15556e-30, 0.518103, 0, 0.0323738, 0, 0.550476
0.029, 4, 7.70372e-31, 0.51587, 0, 0.034645, 0, 0.550515
0.03, 4, 7.70372e-31, 0.51356, 0, 0.0369932, 0, 0.550553
0.031, 5, 1.15556e-30, 0.511174, 0, 0.0394183, 0, 0.550592
0.032, 5, 1.15556e-30, 0.50871, 0, 0.0419204, 0, 0.55063
0.033, 5, 2.31112e-30, 0.506169, 0, 0.0444996, 0, 0.550669
0.034, 5, 1.27111e-29, 0.503552, 0, 0.0471557, 0, 0.550707
0.035, 5, 2.00297e-29, 0.500857, 0, 0.0498888, 0, 0.550746
0.036, 5, 2.00297e-29, 0.498085, 0, 0.0526989, 0, 0.550784
0.037, 5, 1.15556e-29, 0.495237, 0, 0.055586, 0, 0.550823
0.038, 5, 1.15556e-29, 0.492311, 0, 0.05855, 0, 0.550861
0.039, 5, 1.15556e-29, 0.489309, 0, 0.0615911, 0, 0.5509
0.04, 5, 5.77779e-30, 0.486229, 0, 0.0647092, 0, 0.550938
0.041, 6, 5.77779e-30, 0.483073, 0, 0.0679042, 0, 0.550977
0.042, 6, 3.46667e-30, 0.479839, 0, 0.0711762, 0, 0.551015
0.043, 6, 3.46667e-30, 0.476529, 0, 0.0745252, 0, 0.551054
0.044, 6, 1.54074e-30, 0.473141, 0, 0.0779512, 0, 0.551092
0.045, 6, 0, 0.469677, 4.80828e-07, 0.08145, 0, 0.551127
0.046, 6, 2.58073e-12, 0.466135, 2.94655e-05, 0.0849625, 0, 0.551127
0.047, 6, 7.88989e-10, 0.462518, 0.000161182, 0.0884046, 0, 0.551084
0.048, 6, 1.70173e-08, 0.458829, 0.000481896, 0.0916822, 0, 0.550993
0.049, 6, 1.4907e-07, 0.455071, 0.00108517, 0.0946932, 0, 0.55085
0.05, 6, 8.02388e-07, 0.451253, 0.00206902, 0.0973304, 0, 0.550653
0.051, 7, 3.16418e-06, 0.447382, 0.00353174, 0.0994858, 0, 0.550403
0.052, 7, 1.00309e-05, 0.443469, 0.00556661, 0.101056, 0, 0.550101
0.053, 7, 2.70204e-05, 0.439526, 0.00825575, 0.101945, 0, 0.549754
0.054, 7, 6.41051e-05, 0.435568, 0.0116635, 0.102072, 0, 0.549368
0.055, 7, 0.000137289, 0.43161, 0.0158304, 0.101375, 0, 0.548952
0.056, 7, 0.000270147, 0.42767, 0.0207671, 0.0998127, 0, 0.54852
0.057, 7, 0.000494863, 0.423766, 0.0264515, 0.0973693, 0, 0.548082
0.058, 7, 0.000852434, 0.419919, 0.0328261, 0.0940539, 0, 0.547651
0.059, 7, 0.00139172, 0.416149, 0.039799, 0.0899015, 0, 0.547241
0.06, 7, 0.00216719, 0.412477, 0.0472474, 0.0849714, 0, 0.546863
0.061, 8, 0.00323544, 0.408925, 0.0550227, 0.0793449, 0, 0.546528
0.062, 8, 0.00465063, 0.405513, 0.0629586, 0.0731226, 0, 0.546245
0.063, 8, 0.0064592, 0.402262, 0.0708791, 0.0664212, 0, 0.546022
0.064, 8, 0.00869452, 0.399192, 0.078608, 0.0593697, 0, 0.545864
0.065, 8, 0.0113717, 0.396321, 0.0859776, 0.052107, 0, 0.545777
0.066, 8, 0.0144833, 0.393665, 0.0928359, 0.0447785, 0, 0.545763
0.067, 8, 0.0179961, 0.391241, 0.0990528, 0.0375343, 0, 0.545824
0.068, 8, 0.0218491, 0.389062, 0.104524, 0.0305276, 0, 0.545963
0.069, 8, 0.0259536, 0.387139, 0.109172, 0.0239132, 0, 0.546178
0.07, 8, 0.030194, 0.385483, 0.112948, 0.0178462, 0, 0.546471
0.071, 9, 0.0344317, 0.384101, 0.115828, 0.0124802, 0, 0.546841
0.072, 9, 0.0385094, 0.383, 0.117811, 0.00796468, 0, 0.547284
0.073, 9, 0.0422585, 0.382182, 0.118915, 0.00444089, 0, 0.547797
0.074, 9, 0.0455078, 0.381652, 0.119176, 0.00203594, 0, 0.548371
0.075, 9, 0.0480935, 0.381408, 0.118638, 0.000855696, 0, 0.548995
0.076, 9, 0.049871, 0.38145, 0.117355, 0.00097654, 0, 0.549653
0.077, 9, 0.0507263, 0.381776, 0.115385, 0.00243703, 0, 0.550325
0.078, 9, 0.0505863, 0.382381, 0.112789, 0.00523059, 0, 0.550988
0.079, 9, 0.0494274, 0.383261, 0.109627, 0.00930039, 0, 0.551615
0.08, 9, 0.0472803, 0.384407, 0.105957, 0.0145377, 0, 0.552182
0.081, 10, 0.0442307, 0.385813, 0.101836, 0.0207841, 0, 0.552664
0.082, 10, 0.0404147, 0.387471, 0.0973169, 0.0278384, 0, 0.553041
0.083, 10, 0.0360109, 0.389369, 0.0924503, 0.0354667, 0, 0.553297
0.084, 10, 0.0312271, 0.391497, 0.0872841, 0.0434163, 0, 0.553425
0.085, 10, 0.0262855, 0.393845, 0.0818645, 0.0514302, 0, 0.553425
0.086, 10, 0.0214065, 0.396399, 0.0762368, 0.0592622, 0, 0.553305
0.087, 10, 0.016793, 0.399146, 0.0704468, 0.0666906, 0, 0.553077
0.088, 10, 0.0126169, 0.402073, 0.0645419, 0.0735282, 0, 0.55276
0.089, 10, 0.00900894, 0.405165, 0.0585726, 0.0796303, 0, 0.552377
0.09, 10, 0.0060523, 0.408406, 0.052593, 0.0848974, 0, 0.551949
0.091, 11, 0.00378042, 0.411782, 0.046662, 0.0892753, 0, 0.5515
0.092, 11, 0.002179, 0.415275, 0.0408431, 0.0927511, 0, 0.551048
0.093, 11, 0.00119151, 0.41887, 0.0352035, 0.0953472, 0, 0.550612
0.094, 11, 0.000727631, 0.422549, 0.0298131, 0.0971138, 0, 0.550204
0.095, 11, 0.000673666, 0.426296, 0.0247418, 0.09812, 0, 0.549831
0.096, 11, 0.000904016, 0.430094, 0.0200564, 0.0984458, 0, 0.5495
0.097, 11, 0.00129276, 0.433925, 0.0158172, 0.0981743, 0, 0.549209
0.098, 11, 0.00172435, 0.437774, 0.0120735, 0.0973858, 0, 0.548958
0.099, 11, 0.0021026, 0.441626, 0.00886016, 0.0961531, 0, 0.548741
0.1, 11, 0.00235715, 0.445464, 0.00619401, 0.0945397, 0, 0.548555
